id," name"," latitude"," longitude"," sensor_id"," sensor_start"
A22_KM177-600,Stazione_KM177-600,45.755748382,10.992337938,AIRQ01,2020.01.01
A22_KM056-050,Stazione_KM056-050,46.6314495165,11.556294942,AIRQ02,2020.01.01
A22_KM123-900,Stazione_KM123-900,46.182605806,11.113489759,AIRQ03,2020.01.01
AIRQ04_Intercalibrazione,AIRQ04_Intercalibrazione,46.104338,11.110227,AIRQ04,2020.01.01
A22_KM167-950,Stazione_KM167-950,45.83342787,11.002936092,AIRQ05,2020.01.01
A22_KM164-400,Stazione_KM164-400,45.864485247,11.003113333,AIRQ06,2020.01.01
AIRQ07_Intercalibrazione,AIRQ07_Intercalibrazione,46.104338,11.110227,AIRQ07,2020.01.01
A22_KM129-600,Stazione_KM129-600,46.136241187,11.084208783,AIRQ08,2020.01.01
A22_KM181-800,Stazione_KM181-800,45.734199422,10.949835406,AIRQ09,2020.01.01
A22_KM140-605,Stazione_KM140-605,46.04227080945,11.11604421025,AIRQ10,2020.01.01
A22_KM132-800,Stazione_KM132-800,46.108147223,11.088813888,AIRQ11,2020.01.01
A22_KM105-150-4metri,Stazione_KM105-150-4metri,46.309867126,11.2543597395,AIRQ12,2020.01.01
A22_KM105-150-centrale,Stazione_KM105-150-centrale,46.309867126,11.2543597395,AIRQ13,2020.01.01
A22_KM103-700,Stazione_KM103-700,46.320035536,11.265970401,AIRQ14,2020.01.01
A22_KM100-150,Stazione_KM100-150,46.349276273,11.2831426605,AIRQ15,2020.01.01
A22_KM076-600,Stazione_KM076-600,46.491464235,11.417620777,AIRQ16,2020.01.01
AIRQ17_Intercalibrazione,AIRQ17_Intercalibrazione,46.104338,11.110227,AIRQ17,2020.01.01
A22_KM080-175,Stazione_KM080-175,46.4924585085,11.3729693235,AIRQ18,2020.01.01
A22_KM155-180,Stazione_KM155-180,45.9274835506,11.108216305,AIRQ19,2020.01.01
A22_KM148-200,Stazione_KM148-200,45.976700632,11.110227,AIRQ20,2020.01.01
A22_KM046-050,Stazione_KM046-050,46.694885759,11.6422865545,AIRQ21,2020.01.01
A22_KM041-800,Stazione_KM041-800,46.731390086,11.641675207,AIRQ22,2020.01.01
A22_KM087-875,Stazione_KM087-875,46.453644131,11.30604736775,AIRQ23,2020.01.01
