facility_id,carpark_id,counting_category_id,name,capacity,occupancy_limit,free_limit
0404467,0,1,Kurzparker,451,451,450
0404467,0,2,Dauerparker,150,150,150
0404467,0,3,Gesamt,601,601,600
0406009,0,1,Kurzparker,110,109,108
0406009,0,2,Dauerparker,110,9999,9999
0406009,0,3,Gesamt,150,149,148
0601336,0,1,SostaBreve,191,193,191
0601336,0,2,Abbonati,150,151,150
0601336,0,3,Totale,361,361,361
0601336,0,4,Meusburger,21,21,20
0601336,0,5,Nobis Privat,0,0,0
0601336,0,6,Nobis Abo,0,0,0
0601336,1,1,SostaBreve,266,266,265
0601336,1,2,Abbonati,0,0,0
0601336,1,3,Totale,372,372,369
0601336,1,4,Meusburger,0,0,0
0601336,1,5,Nobis Privat,85,85,84
0601336,1,6,Nobis Abo,21,21,20
0601336,2,1,SostaBreve,0,0,0
0601336,2,2,Abbonati,0,0,0
0601336,2,3,Totale,85,85,84
0601336,2,4,Meusburger,0,0,0
0601336,2,5,Nobis Privat,85,85,84
0601336,2,6,Nobis Abo,0,0,0
0601393,0,1,Sosta Breve,100,100,99
0601393,0,2,Abbonati,50,50,49
0601393,0,3,Totale,150,149,149
0601393,1,1,Sosta Breve,100,100,99
0601393,1,2,Abbonati,40,40,39
0601393,1,3,Totale,140,140,139
0601393,2,1,Sosta Breve,45,44,44
0601393,2,2,Abbonati,25,24,24
0601393,2,3,Totale,70,69,69
0602581,0,1,Sosta Breve,9999,9999,9999
0602581,0,2,Abbonati,9999,9999,9999
0602581,0,3,Totale,9999,9999,9999
0602581,0,4,Autobus,9999,9999,9999
0602581,0,5,Camper,9999,9999,9999
0602581,1,1,Sosta Breve,9999,9999,9999
0602581,1,2,Abbonati,9999,9999,9999
0602581,1,3,Totale,9999,9999,9999
0602581,1,4,Autobus,9999,9999,9999
0602581,1,5,Camper,9999,9999,9999
0603001,0,1,Sosta Breve,145,145,144
0603001,0,2,Abbonati,0,0,0
0603001,0,3,Totale,155,155,154
0607242,0,1,SostaBreve,106,106,105
0607242,0,2,Abbonati,139,139,138
0607242,0,3,Totale,245,245,244
0607440,0,1,SostaBreve,198,198,198
0607440,0,2,Abbonati,1,1,1
0607440,0,3,Totale,199,199,199
0607440,1,1,SostaBreve,30,30,29
0607440,1,2,Abbonati,60,60,59
0607440,1,3,Totale,90,90,89
0607440,2,1,SostaBreve,176,176,175
0607440,2,2,Abbonati,15,15,15
0607440,2,3,Totale,191,191,190
0607861,0,1,Kurzparker,9999,9999,9999
0607861,0,2,Dauerparker,9999,9999,9999
0607861,0,3,Gesamt,9999,9999,9999
0608935,0,1,Sosta Breve,520,520,449
0608935,0,2,Abbonati,0,0,0
0608935,0,3,Totale,520,520,449
0609008,0,1,Sosta Breve,60,60,59
0609008,0,2,Abbonati,1000,1000,999
0609008,0,3,Totale,120,120,119
0609008,1,1,Sosta Breve,42,42,41
0609008,1,2,Abbonati,0,0,0
0609008,1,3,Totale,42,41,41
0609420,0,1,Sosta Breve,9999,9999,9999
0609420,0,2,Abbonati,9999,9999,9999
0609420,0,3,Totale,9999,9999,9999
0609420,1,1,Sosta Breve,9999,9999,9999
0609420,1,2,Abbonati,9999,9999,9999
0609420,1,3,Totale,9999,9999,9999
0609701,0,1,Sosta Breve,48,48,47
0609701,0,2,Abbonati,0,0,0
0609701,0,3,Totale,48,48,47
